time_period,region_name,characteristic_sex,sub_name_comb,num_maths_science,num_entered_comb_and_no_other_matsci,perc_entered_comb_and_no_other_matsci 
2021 to 22,East of England,Male,Biology & Chemistry & Physics,3,74,0.56
2021 to 22,Yorkshire and The Humber,Male,Biology & Chemistry & Physics,3,56,0.596
2021 to 22,North East,Male,Biology & Chemistry & Physics,3,19,0.469
2021 to 22,South East,Male,Biology & Chemistry & Physics,3,86,0.408
2021 to 22,East Midlands,Male,Biology & Chemistry & Physics,3,79,0.933
2021 to 22,South West,Male,Biology & Chemistry & Physics,3,53,0.542
2021 to 22,London,Male,Biology,1,719,3.629
2021 to 22,North West,Male,Biology,1,637,4.708
2021 to 22,West Midlands,Male,Biology,1,569,5.145
2021 to 22,East of England,Male,Biology,1,591,4.471
2021 to 22,Yorkshire and The Humber,Male,Biology,1,433,4.608
2021 to 22,North East,Male,Biology,1,190,4.686
2021 to 22,South East,Male,Biology,1,1076,5.1
2021 to 22,East Midlands,Male,Biology,1,515,6.084
2021 to 22,South West,Male,Biology,1,649,6.643
2021 to 22,London,Male,Maths & Physics,2,1382,6.976
2021 to 22,North West,Male,Maths & Physics,2,818,6.045
2021 to 22,West Midlands,Male,Maths & Physics,2,740,6.691
2021 to 22,East of England,Male,Maths & Physics,2,804,6.083
2021 to 22,Yorkshire and The Humber,Male,Maths & Physics,2,658,7.003
2021 to 22,North East,Male,Maths & Physics,2,266,6.56
2021 to 22,South East,Male,Maths & Physics,2,1442,6.834
2021 to 22,East Midlands,Male,Maths & Physics,2,613,7.242
2021 to 22,South West,Male,Maths & Physics,2,717,7.339
2021 to 22,London,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,North West,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,West Midlands,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,East of England,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,Yorkshire and The Humber,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,North East,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,South East,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,1,0.002
2021 to 22,East Midlands,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,South West,All,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2021 to 22,London,Female,Maths & Biology & Chemistry,3,1866,7.553
2021 to 22,North West,Female,Maths & Biology & Chemistry,3,946,5.3
2021 to 22,West Midlands,Female,Maths & Biology & Chemistry,3,754,5.254
2021 to 22,East of England,Female,Maths & Biology & Chemistry,3,811,4.977
2021 to 22,Yorkshire and The Humber,Female,Maths & Biology & Chemistry,3,562,4.553
2021 to 22,North East,Female,Maths & Biology & Chemistry,3,230,4.206
2021 to 22,South East,Female,Maths & Biology & Chemistry,3,1156,4.648
2021 to 22,East Midlands,Female,Maths & Biology & Chemistry,3,505,4.752
2021 to 22,South West,Female,Maths & Biology & Chemistry,3,504,4.119
2021 to 22,London,Female,Maths & Physics,2,436,1.765
2021 to 22,North West,Female,Maths & Physics,2,219,1.227
2021 to 22,West Midlands,Female,Maths & Physics,2,194,1.352
2021 to 22,East of England,Female,Maths & Physics,2,205,1.258
2021 to 22,Yorkshire and The Humber,Female,Maths & Physics,2,162,1.312
2021 to 22,North East,Female,Maths & Physics,2,68,1.243
2021 to 22,South East,Female,Maths & Physics,2,388,1.56
2021 to 22,East Midlands,Female,Maths & Physics,2,137,1.289
2021 to 22,South West,Female,Maths & Physics,2,175,1.43
2021 to 22,London,Male,Physics & Computer Science,2,42,0.212
2021 to 22,North West,Male,Physics & Computer Science,2,38,0.281
2021 to 22,West Midlands,Male,Physics & Computer Science,2,42,0.38
2021 to 22,East of England,Male,Physics & Computer Science,2,58,0.439
2021 to 22,Yorkshire and The Humber,Male,Physics & Computer Science,2,19,0.202
2021 to 22,North East,Male,Physics & Computer Science,2,10,0.247
2021 to 22,South East,Male,Physics & Computer Science,2,60,0.284
2021 to 22,East Midlands,Male,Physics & Computer Science,2,34,0.402
2021 to 22,South West,Male,Physics & Computer Science,2,36,0.368
2021 to 22,London,All,Further Maths & Physics & Computer Science,3,15,0.034
2021 to 22,North West,All,Further Maths & Physics & Computer Science,3,17,0.054
2021 to 22,West Midlands,All,Further Maths & Physics & Computer Science,3,21,0.083
2021 to 22,East of England,All,Further Maths & Physics & Computer Science,3,25,0.085
2021 to 22,Yorkshire and The Humber,All,Further Maths & Physics & Computer Science,3,8,0.037
2021 to 22,North East,All,Further Maths & Physics & Computer Science,3,0,0.0
2021 to 22,South East,All,Further Maths & Physics & Computer Science,3,44,0.096
2021 to 22,East Midlands,All,Further Maths & Physics & Computer Science,3,27,0.141
2021 to 22,South West,All,Further Maths & Physics & Computer Science,3,13,0.059
2021 to 22,London,All,Maths & Further Maths,2,498,1.119
2021 to 22,North West,All,Maths & Further Maths,2,152,0.484
2021 to 22,West Midlands,All,Maths & Further Maths,2,115,0.453
2021 to 22,East of England,All,Maths & Further Maths,2,235,0.796
2021 to 22,Yorkshire and The Humber,All,Maths & Further Maths,2,120,0.552
2021 to 22,North East,All,Maths & Further Maths,2,49,0.514
2021 to 22,South East,All,Maths & Further Maths,2,264,0.574
2021 to 22,East Midlands,All,Maths & Further Maths,2,93,0.487
2021 to 22,South West,All,Maths & Further Maths,2,118,0.536
2021 to 22,London,Female,Physics & Computer Science,2,10,0.04
2021 to 22,North West,Female,Physics & Computer Science,2,0,0.0
2021 to 22,West Midlands,Female,Physics & Computer Science,2,5,0.035
2021 to 22,East of England,Female,Physics & Computer Science,2,5,0.031
2021 to 22,Yorkshire and The Humber,Female,Physics & Computer Science,2,3,0.024
2021 to 22,North East,Female,Physics & Computer Science,2,2,0.037
2021 to 22,South East,Female,Physics & Computer Science,2,9,0.036
2021 to 22,East Midlands,Female,Physics & Computer Science,2,2,0.019
2021 to 22,South West,Female,Physics & Computer Science,2,4,0.033
2021 to 22,London,All,Biology & Chemistry & Physics,3,184,0.413
2021 to 22,North West,All,Biology & Chemistry & Physics,3,124,0.395
2021 to 22,West Midlands,All,Biology & Chemistry & Physics,3,166,0.653
2021 to 22,East of England,All,Biology & Chemistry & Physics,3,143,0.485
2021 to 22,Yorkshire and The Humber,All,Biology & Chemistry & Physics,3,109,0.501
2021 to 22,North East,All,Biology & Chemistry & Physics,3,34,0.357
2021 to 22,South East,All,Biology & Chemistry & Physics,3,150,0.326
2021 to 22,East Midlands,All,Biology & Chemistry & Physics,3,138,0.723
2021 to 22,South West,All,Biology & Chemistry & Physics,3,90,0.409
2021 to 22,London,All,Biology,1,2401,5.394
2021 to 22,North West,All,Biology,1,2102,6.699
2021 to 22,West Midlands,All,Biology,1,1952,7.682
2021 to 22,East of England,All,Biology,1,2057,6.97
2021 to 22,Yorkshire and The Humber,All,Biology,1,1513,6.96
2021 to 22,North East,All,Biology,1,655,6.877
2021 to 22,South East,All,Biology,1,3399,7.394
2021 to 22,East Midlands,All,Biology,1,1737,9.098
2021 to 22,South West,All,Biology,1,2024,9.197
2021 to 22,London,All,Maths & Physics,2,1818,4.084
2021 to 22,North West,All,Maths & Physics,2,1037,3.305
2021 to 22,West Midlands,All,Maths & Physics,2,934,3.676
2021 to 22,East of England,All,Maths & Physics,2,1009,3.419
2021 to 22,Yorkshire and The Humber,All,Maths & Physics,2,820,3.772
2021 to 22,North East,All,Maths & Physics,2,334,3.507
2021 to 22,South East,All,Maths & Physics,2,1830,3.981
2021 to 22,East Midlands,All,Maths & Physics,2,750,3.928
2021 to 22,South West,All,Maths & Physics,2,892,4.053
2021 to 22,London,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2021 to 22,North West,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.006
2021 to 22,West Midlands,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2021 to 22,East of England,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,2,0.012
2021 to 22,Yorkshire and The Humber,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2021 to 22,North East,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2021 to 22,South East,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.004
2021 to 22,East Midlands,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2021 to 22,South West,Female,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2021 to 22,London,Male,Maths & Biology & Chemistry,3,1288,6.502
2021 to 22,North West,Male,Maths & Biology & Chemistry,3,698,5.159
2021 to 22,West Midlands,Male,Maths & Biology & Chemistry,3,642,5.805
2021 to 22,East of England,Male,Maths & Biology & Chemistry,3,514,3.889
2021 to 22,Yorkshire and The Humber,Male,Maths & Biology & Chemistry,3,439,4.672
2021 to 22,North East,Male,Maths & Biology & Chemistry,3,148,3.65
2021 to 22,South East,Male,Maths & Biology & Chemistry,3,767,3.635
2021 to 22,East Midlands,Male,Maths & Biology & Chemistry,3,351,4.146
2021 to 22,South West,Male,Maths & Biology & Chemistry,3,343,3.511
2021 to 22,London,All,Chemistry,1,323,0.726
2021 to 22,North West,All,Chemistry,1,310,0.988
2021 to 22,West Midlands,All,Chemistry,1,244,0.96
2021 to 22,East of England,All,Chemistry,1,201,0.681
2021 to 22,Yorkshire and The Humber,All,Chemistry,1,177,0.814
2021 to 22,North East,All,Chemistry,1,83,0.871
2021 to 22,South East,All,Chemistry,1,348,0.757
2021 to 22,East Midlands,All,Chemistry,1,174,0.911
2021 to 22,South West,All,Chemistry,1,234,1.063
2021 to 22,London,Female,Computer Science,1,111,0.449
2021 to 22,North West,Female,Computer Science,1,79,0.443
2021 to 22,West Midlands,Female,Computer Science,1,51,0.355
2021 to 22,East of England,Female,Computer Science,1,53,0.325
2021 to 22,Yorkshire and The Humber,Female,Computer Science,1,24,0.194
2021 to 22,North East,Female,Computer Science,1,19,0.347
2021 to 22,South East,Female,Computer Science,1,82,0.33
2021 to 22,East Midlands,Female,Computer Science,1,37,0.348
2021 to 22,South West,Female,Computer Science,1,30,0.245
2021 to 22,London,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2021 to 22,North West,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2021 to 22,West Midlands,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2021 to 22,East of England,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2021 to 22,Yorkshire and The Humber,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2021 to 22,North East,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2021 to 22,South East,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2021 to 22,East Midlands,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2021 to 22,South West,Female,Maths & Further Maths & Biology & Physics & Computer Science,5,0,0.0
2021 to 22,London,Male,Chemistry,1,105,0.53
2021 to 22,North West,Male,Chemistry,1,130,0.961
2021 to 22,West Midlands,Male,Chemistry,1,103,0.931
2021 to 22,East of England,Male,Chemistry,1,81,0.613
2021 to 22,Yorkshire and The Humber,Male,Chemistry,1,73,0.777
2021 to 22,North East,Male,Chemistry,1,38,0.937
2021 to 22,South East,Male,Chemistry,1,154,0.73
2021 to 22,East Midlands,Male,Chemistry,1,79,0.933
2021 to 22,South West,Male,Chemistry,1,100,1.024
2021 to 22,London,All,Physics,1,199,0.447
2021 to 22,North West,All,Physics,1,185,0.59
2021 to 22,West Midlands,All,Physics,1,171,0.673
2021 to 22,East of England,All,Physics,1,252,0.854
2021 to 22,Yorkshire and The Humber,All,Physics,1,139,0.639
2021 to 22,North East,All,Physics,1,55,0.577
2021 to 22,South East,All,Physics,1,332,0.722
2021 to 22,East Midlands,All,Physics,1,195,1.021
2021 to 22,South West,All,Physics,1,206,0.936
2021 to 22,London,Female,Biology & Physics & Computer Science,3,1,0.004
2021 to 22,North West,Female,Biology & Physics & Computer Science,3,0,0.0
2021 to 22,West Midlands,Female,Biology & Physics & Computer Science,3,1,0.007
2021 to 22,East of England,Female,Biology & Physics & Computer Science,3,4,0.025
2021 to 22,Yorkshire and The Humber,Female,Biology & Physics & Computer Science,3,0,0.0
2021 to 22,North East,Female,Biology & Physics & Computer Science,3,0,0.0
2021 to 22,South East,Female,Biology & Physics & Computer Science,3,1,0.004
2021 to 22,East Midlands,Female,Biology & Physics & Computer Science,3,1,0.009
2021 to 22,South West,Female,Biology & Physics & Computer Science,3,0,0.0
2021 to 22,London,Female,Chemistry,1,218,0.882
2021 to 22,North West,Female,Chemistry,1,180,1.009
2021 to 22,West Midlands,Female,Chemistry,1,141,0.983
2021 to 22,East of England,Female,Chemistry,1,120,0.736
2021 to 22,Yorkshire and The Humber,Female,Chemistry,1,104,0.843
2021 to 22,North East,Female,Chemistry,1,45,0.823
2021 to 22,South East,Female,Chemistry,1,194,0.78
2021 to 22,East Midlands,Female,Chemistry,1,95,0.894
2021 to 22,South West,Female,Chemistry,1,134,1.095
2021 to 22,London,Male,Physics,1,140,0.707
2021 to 22,North West,Male,Physics,1,150,1.109
2021 to 22,West Midlands,Male,Physics,1,132,1.194
2021 to 22,East of England,Male,Physics,1,194,1.468
2021 to 22,Yorkshire and The Humber,Male,Physics,1,107,1.139
2021 to 22,North East,Male,Physics,1,47,1.159
2021 to 22,South East,Male,Physics,1,255,1.209
2021 to 22,East Midlands,Male,Physics,1,148,1.748
2021 to 22,South West,Male,Physics,1,156,1.597
2021 to 22,London,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,3,0.015
2021 to 22,North West,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.007
2021 to 22,West Midlands,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,2,0.018
2021 to 22,East of England,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2021 to 22,Yorkshire and The Humber,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2021 to 22,North East,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,0,0.0
2021 to 22,South East,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,4,0.019
2021 to 22,East Midlands,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.012
2021 to 22,South West,Male,Maths & Further Maths & Biology & Chemistry & Physics,5,1,0.01
2021 to 22,London,All,Maths & Biology & Chemistry,3,3154,7.085
2021 to 22,North West,All,Maths & Biology & Chemistry,3,1644,5.239
2021 to 22,West Midlands,All,Maths & Biology & Chemistry,3,1396,5.494
2021 to 22,East of England,All,Maths & Biology & Chemistry,3,1325,4.49
2021 to 22,Yorkshire and The Humber,All,Maths & Biology & Chemistry,3,1001,4.605
2021 to 22,North East,All,Maths & Biology & Chemistry,3,378,3.969
2021 to 22,South East,All,Maths & Biology & Chemistry,3,1923,4.183
2021 to 22,East Midlands,All,Maths & Biology & Chemistry,3,856,4.484
2021 to 22,South West,All,Maths & Biology & Chemistry,3,847,3.849
2021 to 22,London,Female,Physics,1,59,0.239
2021 to 22,North West,Female,Physics,1,35,0.196
2021 to 22,West Midlands,Female,Physics,1,39,0.272
2021 to 22,East of England,Female,Physics,1,58,0.356
2021 to 22,Yorkshire and The Humber,Female,Physics,1,32,0.259
2021 to 22,North East,Female,Physics,1,8,0.146
2021 to 22,South East,Female,Physics,1,77,0.31
2021 to 22,East Midlands,Female,Physics,1,47,0.442
2021 to 22,South West,Female,Physics,1,50,0.409
2021 to 22,London,Male,Computer Science,1,477,2.408
2021 to 22,North West,Male,Computer Science,1,451,3.333
2021 to 22,West Midlands,Male,Computer Science,1,289,2.613
2021 to 22,East of England,Male,Computer Science,1,345,2.61
2021 to 22,Yorkshire and The Humber,Male,Computer Science,1,205,2.182
